,security,trade_date,open,close,low,high,volume,open_interest,pre_close,high_limit,change_pct,distance,MA5,MA10,MA20
0,A9999.XDCE,2005-01-04,2585.0,2571.0,2564.0,2588.0,177076.0,334512.0,2612.0,2717.0,-0.0157,,,,
1,A9999.XDCE,2005-01-05,2550.0,2577.0,2545.0,2579.0,265746.0,358354.0,2571.0,2677.0,0.0023,,,,
2,A9999.XDCE,2005-01-06,2571.0,2586.0,2568.0,2588.0,151552.0,352018.0,2577.0,2666.0,0.0035,,,,
3,A9999.XDCE,2005-01-07,2595.0,2614.0,2586.0,2622.0,406112.0,374942.0,2586.0,2681.0,0.0108,,,,
4,A9999.XDCE,2005-01-10,2622.0,2610.0,2603.0,2633.0,325622.0,371664.0,2614.0,2713.0,-0.0015,,2591.6,,
5,A9999.XDCE,2005-01-11,2634.0,2621.0,2618.0,2638.0,232264.0,370084.0,2610.0,2720.0,0.0042,,2601.6,,
6,A9999.XDCE,2005-01-12,2615.0,2616.0,2611.0,2625.0,167060.0,360774.0,2621.0,2732.0,-0.0019,,2609.4,,
7,A9999.XDCE,2005-01-13,2600.0,2609.0,2596.0,2615.0,163068.0,364630.0,2616.0,2721.0,-0.0027,,2614.0,,
8,A9999.XDCE,2005-01-14,2618.0,2593.0,2588.0,2619.0,274144.0,367028.0,2609.0,2712.0,-0.0061,,2609.8,,
9,A9999.XDCE,2005-01-17,2570.0,2583.0,2565.0,2585.0,207230.0,361998.0,2593.0,2707.0,-0.0039,,2604.4,2598.0,
10,A9999.XDCE,2005-01-18,2581.0,2594.0,2571.0,2594.0,301348.0,386786.0,2583.0,2680.0,0.0043,,2599.0,2600.3,
11,A9999.XDCE,2005-01-19,2582.0,2593.0,2578.0,2594.0,226614.0,380864.0,2594.0,2687.0,-0.0004,,2594.4,2601.9,
12,A9999.XDCE,2005-01-20,2592.0,2581.0,2576.0,2595.0,154158.0,362192.0,2593.0,2690.0,-0.0046,,2588.8,2601.4,
13,A9999.XDCE,2005-01-21,2588.0,2577.0,2573.0,2591.0,146164.0,346552.0,2581.0,2688.0,-0.0015,,2585.6,2597.7,
14,A9999.XDCE,2005-01-24,2567.0,2587.0,2565.0,2590.0,200174.0,336488.0,2577.0,2683.0,0.0039,,2586.4,2595.4,
15,A9999.XDCE,2005-01-25,2583.0,2576.0,2575.0,2587.0,91282.0,328930.0,2587.0,2684.0,-0.0043,,2582.8,2590.9,
16,A9999.XDCE,2005-01-26,2585.0,2582.0,2579.0,2590.0,100750.0,326346.0,2576.0,2685.0,0.0023,,2580.6,2587.5,
17,A9999.XDCE,2005-01-27,2579.0,2579.0,2575.0,2582.0,63246.0,314832.0,2582.0,2688.0,-0.0012,,2580.2,2584.5,
18,A9999.XDCE,2005-01-28,2570.0,2553.0,2549.0,2570.0,190360.0,315454.0,2579.0,2682.0,-0.0101,,2575.4,2580.5,
19,A9999.XDCE,2005-01-31,2550.0,2530.0,2525.0,2556.0,208448.0,321796.0,2553.0,2660.0,-0.009,,2564.0,2575.2,2586.6
20,A9999.XDCE,2005-02-01,2540.0,2539.0,2534.0,2542.0,80434.0,316692.0,2530.0,2636.0,0.0036,,2556.6,2569.7,2585.0
21,A9999.XDCE,2005-02-02,2521.0,2528.0,2513.0,2530.0,145562.0,317504.0,2539.0,2639.0,-0.0043,,2545.8,2563.2,2582.55
22,A9999.XDCE,2005-02-03,2525.0,2537.0,2523.0,2538.0,52062.0,307168.0,2528.0,2624.0,0.0036,,2537.4,2558.8,2580.1
23,A9999.XDCE,2005-02-04,2528.0,2535.0,2528.0,2540.0,62130.0,297522.0,2537.0,2631.0,-0.0008,,2533.8,2554.6,2576.15
24,A9999.XDCE,2005-02-16,2605.0,2587.0,2583.0,2605.0,172206.0,304972.0,2535.0,2638.0,0.0205,,2545.2,2554.6,2575.0
25,A9999.XDCE,2005-02-17,2590.0,2595.0,2582.0,2597.0,120456.0,304216.0,2587.0,2695.0,0.0031,,2556.4,2556.5,2573.7
26,A9999.XDCE,2005-02-18,2622.0,2612.0,2612.0,2634.0,244830.0,271332.0,2595.0,2694.0,0.0066,,2573.2,2559.5,2573.5
27,A9999.XDCE,2005-02-21,2612.0,2624.0,2611.0,2625.0,98964.0,269542.0,2612.0,2729.0,0.0046,,2590.6,2564.0,2574.25
28,A9999.XDCE,2005-02-22,2625.0,2666.0,2624.0,2672.0,429396.0,266850.0,2624.0,2725.0,0.016,,2616.8,2575.3,2577.9
29,A9999.XDCE,2005-02-23,2685.0,2670.0,2667.0,2707.0,293820.0,241304.0,2666.0,2765.0,0.0015,0.03,2633.4,2589.3,2582.25
30,A9999.XDCE,2005-02-24,2685.0,2700.0,2678.0,2701.0,252092.0,229640.0,2670.0,2792.0,0.0112,0.029,2654.4,2605.4,2587.55
31,A9999.XDCE,2005-02-25,2680.0,2677.0,2671.0,2689.0,119218.0,215920.0,2700.0,2799.0,-0.0085,0.0156,2667.4,2620.3,2591.75
32,A9999.XDCE,2005-02-28,2745.0,2787.0,2743.0,2787.0,158198.0,188080.0,2677.0,2788.0,0.0411,0.0211,2700.0,2645.3,2602.05
33,A9999.XDCE,2005-03-01,2810.0,2789.0,2768.0,2810.0,223440.0,156424.0,2787.0,2886.0,0.0007,0.0122,2724.6,2670.7,2612.65
34,A9999.XDCE,2005-03-02,2773.0,2852.0,2772.0,2895.0,465260.0,157304.0,2789.0,2901.0,0.0226,0.0105,2761.0,2697.2,2625.9
35,A9999.XDCE,2005-03-03,2860.0,2857.0,2845.0,2878.0,202508.0,132396.0,2852.0,2959.0,0.0018,0.0068,2792.4,2723.4,2639.95
36,A9999.XDCE,2005-03-04,2870.0,2835.0,2819.0,2882.0,187036.0,107988.0,2857.0,2980.0,-0.0077,0.0037,2824.0,2745.7,2652.6
37,A9999.XDCE,2005-03-07,2865.0,2880.0,2860.0,2885.0,88572.0,98090.0,2835.0,2967.0,0.0159,0.0036,2842.6,2771.3,2667.65
38,A9999.XDCE,2005-03-08,2898.0,2891.0,2868.0,2909.0,382278.0,178360.0,2880.0,3059.0,0.0038,0.0026,2863.0,2793.8,2684.55
39,A9999.XDCE,2005-03-09,2930.0,2923.0,2920.0,2946.0,303394.0,203100.0,2891.0,3004.0,0.0111,0.0024,2877.2,2819.1,2704.2
40,A9999.XDCE,2005-03-10,2931.0,2946.0,2922.0,2947.0,244928.0,192566.0,2923.0,3053.0,0.0079,0.0019,2895.0,2843.7,2724.55
41,A9999.XDCE,2005-03-11,2975.0,2986.0,2973.0,2991.0,262164.0,202070.0,2946.0,3056.0,0.0136,0.0018,2925.2,2874.6,2747.45
42,A9999.XDCE,2005-03-14,3060.0,3067.0,3019.0,3076.0,532080.0,221746.0,2986.0,3101.0,0.0271,0.0024,2962.6,2902.6,2773.95
43,A9999.XDCE,2005-03-15,3059.0,3154.0,3052.0,3166.0,635516.0,250420.0,3067.0,3179.0,0.0284,0.0027,3015.2,2939.1,2804.9
44,A9999.XDCE,2005-03-16,3200.0,3232.0,3195.0,3246.0,522358.0,241852.0,3154.0,3247.0,0.0247,0.0026,3077.0,2977.1,2837.15
45,A9999.XDCE,2005-03-17,3194.0,3194.0,3175.0,3246.0,481110.0,237158.0,3232.0,3357.0,-0.0118,0.0013,3126.6,3010.8,2867.1
46,A9999.XDCE,2005-03-18,3201.0,3099.0,3076.0,3220.0,709376.0,242026.0,3194.0,3333.0,-0.0297,-0.0004,3149.2,3037.2,2891.45
47,A9999.XDCE,2005-03-21,3051.0,3103.0,3046.0,3103.0,825040.0,302692.0,3099.0,3269.0,0.0013,-0.0007,3156.4,3059.5,2915.4
