,security,trade_date,open,close,low,high,volume,open_interest,pre_close,high_limit,change_pct,distance,MA5,MA10,MA20
0,ZN9999.XSGE,2007-03-27,29550.0,29725.0,29500.0,29870.0,16046.0,6346.0,29200.0,30365.0,0.018,,,,
1,ZN9999.XSGE,2007-03-28,29495.0,29565.0,29420.0,29700.0,8506.0,7048.0,29725.0,30870.0,-0.0054,,,,
2,ZN9999.XSGE,2007-03-29,29510.0,29030.0,29010.0,29560.0,8742.0,7988.0,29565.0,30715.0,-0.0181,,,,
3,ZN9999.XSGE,2007-03-30,29430.0,29390.0,29180.0,29500.0,13758.0,9178.0,29030.0,30450.0,0.0124,,,,
4,ZN9999.XSGE,2007-04-02,29390.0,29290.0,29250.0,29445.0,5902.0,9486.0,29390.0,30535.0,-0.0034,,29400.0,,
5,ZN9999.XSGE,2007-04-03,28935.0,28780.0,28660.0,28980.0,11610.0,10368.0,29290.0,30500.0,-0.0174,,29211.0,,
6,ZN9999.XSGE,2007-04-04,29250.0,28985.0,28980.0,29260.0,8848.0,10798.0,28780.0,29960.0,0.0071,,29095.0,,
7,ZN9999.XSGE,2007-04-05,29700.0,30245.0,29540.0,30245.0,18584.0,13378.0,28985.0,30245.0,0.0435,,29338.0,,
8,ZN9999.XSGE,2007-04-06,30245.0,31385.0,30105.0,31515.0,61558.0,17194.0,30245.0,31130.0,0.0377,,29737.0,,
9,ZN9999.XSGE,2007-04-09,31550.0,32195.0,31550.0,32195.0,32744.0,19134.0,31385.0,32195.0,0.0258,,30318.0,29859.0,
10,ZN9999.XSGE,2007-04-10,32850.0,32745.0,31980.0,33865.0,128476.0,24974.0,32195.0,33225.0,0.0171,,31111.0,30161.0,
11,ZN9999.XSGE,2007-04-11,32800.0,32395.0,32020.0,32990.0,116134.0,26572.0,32745.0,34325.0,-0.0107,,31793.0,30444.0,
12,ZN9999.XSGE,2007-04-12,32535.0,32955.0,32370.0,33220.0,112886.0,30134.0,32395.0,33780.0,0.0173,,32335.0,30836.5,
13,ZN9999.XSGE,2007-04-13,32000.0,31720.0,31600.0,32265.0,58412.0,26694.0,32955.0,34200.0,-0.0375,,32402.0,31069.5,
14,ZN9999.XSGE,2007-04-16,32055.0,32245.0,31860.0,32360.0,57986.0,28426.0,31720.0,33180.0,0.0166,,32412.0,31365.0,
15,ZN9999.XSGE,2007-04-17,32100.0,32160.0,31855.0,32640.0,75052.0,29702.0,32245.0,33450.0,-0.0026,,32295.0,31703.0,
16,ZN9999.XSGE,2007-04-18,33590.0,33590.0,33400.0,33590.0,23606.0,27472.0,32160.0,33590.0,0.0445,,32534.0,32163.5,
17,ZN9999.XSGE,2007-04-19,33790.0,32790.0,31560.0,34030.0,142874.0,29132.0,33590.0,34900.0,-0.0238,,32501.0,32418.0,
18,ZN9999.XSGE,2007-04-20,33000.0,32960.0,31990.0,33100.0,127572.0,28828.0,32790.0,34370.0,0.0052,,32749.0,32575.5,
19,ZN9999.XSGE,2007-04-23,33280.0,32840.0,32400.0,33660.0,108918.0,31484.0,32960.0,33970.0,-0.0036,,32868.0,32640.0,31249.5
20,ZN9999.XSGE,2007-04-24,33980.0,34065.0,33460.0,34100.0,100956.0,34950.0,32840.0,34515.0,0.0373,,33249.0,32772.0,31466.5
21,ZN9999.XSGE,2007-04-25,33335.0,33070.0,32860.0,33480.0,124430.0,33030.0,34065.0,35135.0,-0.0292,,33145.0,32839.5,31641.75
22,ZN9999.XSGE,2007-04-26,33365.0,33305.0,33120.0,33500.0,67122.0,34488.0,33070.0,34470.0,0.0071,,33248.0,32874.5,31855.5
23,ZN9999.XSGE,2007-04-27,32500.0,32270.0,32160.0,32700.0,72398.0,31408.0,33305.0,34660.0,-0.0311,,33110.0,32929.5,31999.5
