security,trade_date,display_name,open,close,high,low,pre_close,change_pct,volume
XIN9,2022-06-01,富时中国A50指数(富时A50),13593.74,13560.12,13603.13,13490.8,13593.74,-0.25,0.0
XIN9,2022-05-31,富时中国A50指数(富时A50),13383.47,13593.74,13614.33,13337.97,13383.47,1.57,0.0
XIN9,2022-05-30,富时中国A50指数(富时A50),13261.36,13383.47,13440.84,13261.36,13261.36,0.92,0.0
XIN9,2022-05-27,富时中国A50指数(富时A50),13168.64,13261.36,13421.46,13168.64,13168.64,0.7,0.0
XIN9,2022-05-26,富时中国A50指数(富时A50),13196.89,13168.64,13259.09,13045.6,13196.89,-0.21,0.0
XIN9,2022-05-25,富时中国A50指数(富时A50),13150.69,13196.89,13216.87,13108.76,13150.69,0.35,0.0
XIN9,2022-05-24,富时中国A50指数(富时A50),13396.57,13150.69,13413.38,13147.11,13396.57,-1.84,0.0
XIN9,2022-05-23,富时中国A50指数(富时A50),13528.05,13396.57,13549.12,13330.84,13528.05,-0.97,0.0
XIN9,2022-05-20,富时中国A50指数(富时A50),13202.07,13528.05,13535.25,13200.1,13202.07,2.47,0.0
XIN9,2022-05-19,富时中国A50指数(富时A50),13246.39,13202.07,13246.39,13064.28,13246.39,-0.33,0.0
XIN9,2022-05-18,富时中国A50指数(富时A50),13330.4,13246.39,13362.84,13137.27,13330.4,-0.63,0.0
XIN9,2022-05-17,富时中国A50指数(富时A50),13159.33,13330.4,13340.47,13158.39,13159.33,1.3,0.0
XIN9,2022-05-16,富时中国A50指数(富时A50),13296.03,13159.33,13378.62,13112.73,13296.03,-1.03,0.0
XIN9,2022-05-13,富时中国A50指数(富时A50),13153.7,13296.03,13347.41,13153.7,13153.7,1.08,0.0
XIN9,2022-05-12,富时中国A50指数(富时A50),13230.77,13153.7,13249.61,13108.07,13230.77,-0.58,0.0
XIN9,2022-05-11,富时中国A50指数(富时A50),13045.56,13230.77,13367.97,13018.39,13045.56,1.42,0.0
XIN9,2022-05-10,富时中国A50指数(富时A50),12942.53,13045.56,13108.55,12661.61,12942.53,0.8,0.0
XIN9,2022-05-09,富时中国A50指数(富时A50),13103.98,12942.53,13103.98,12853.52,13103.98,-1.23,0.0
XIN9,2022-05-06,富时中国A50指数(富时A50),13463.92,13103.98,13463.92,13083.55,13463.92,-2.67,0.0
XIN9,2022-05-05,富时中国A50指数(富时A50),13516.3,13463.92,13607.7,13412.46,13516.3,-0.39,0.0
XIN9,2022-04-29,富时中国A50指数(富时A50),13365.55,13516.3,13573.75,13193.47,13365.55,1.13,0.0
XIN9,2022-04-28,富时中国A50指数(富时A50),13222.45,13365.55,13401.76,13166.61,13222.45,1.08,0.0
XIN9,2022-04-27,富时中国A50指数(富时A50),12956.29,13222.45,13222.45,12914.34,12956.29,2.05,0.0
XIN9,2022-04-26,富时中国A50指数(富时A50),12904.25,12956.29,13186.62,12873.1,12904.25,0.4,0.0
XIN9,2022-04-25,富时中国A50指数(富时A50),13508.74,12904.25,13508.74,12897.06,13508.74,-4.47,0.0
XIN9,2022-04-22,富时中国A50指数(富时A50),13397.62,13508.74,13570.12,13270.36,13397.62,0.83,0.0
XIN9,2022-04-21,富时中国A50指数(富时A50),13552.71,13397.62,13629.02,13327.9,13552.71,-1.14,0.0
XIN9,2022-04-20,富时中国A50指数(富时A50),13724.22,13552.71,13736.3,13517.18,13724.22,-1.25,0.0
XIN9,2022-04-19,富时中国A50指数(富时A50),13811.12,13724.22,13913.11,13645.0,13811.12,-0.63,0.0
XIN9,2022-04-18,富时中国A50指数(富时A50),13982.81,13811.12,13982.81,13717.35,13982.81,-1.23,0.0
XIN9,2022-04-15,富时中国A50指数(富时A50),13999.03,13982.81,14053.26,13873.92,13999.03,-0.12,0.0
XIN9,2022-04-14,富时中国A50指数(富时A50),13822.16,13999.03,14100.03,13822.16,13822.16,1.28,0.0
XIN9,2022-04-13,富时中国A50指数(富时A50),13872.31,13822.16,13993.69,13759.92,13872.31,-0.36,0.0
XIN9,2022-04-12,富时中国A50指数(富时A50),13569.1,13872.31,13875.13,13521.64,13569.1,2.23,0.0
XIN9,2022-04-11,富时中国A50指数(富时A50),13931.72,13569.1,13931.72,13514.83,13931.72,-2.6,0.0
XIN9,2022-04-08,富时中国A50指数(富时A50),13851.08,13931.72,13960.51,13795.18,13851.08,0.58,0.0
XIN9,2022-04-07,富时中国A50指数(富时A50),13968.18,13851.08,14037.56,13804.69,13968.18,-0.84,0.0
XIN9,2022-04-06,富时中国A50指数(富时A50),14009.59,13968.18,14020.11,13874.13,14009.59,-0.3,0.0
XIN9,2022-04-01,富时中国A50指数(富时A50),13750.58,14009.59,14062.54,13666.44,13750.58,1.88,0.0
XIN9,2022-03-31,富时中国A50指数(富时A50),13803.33,13750.58,13803.33,13685.78,13803.33,-0.38,0.0
XIN9,2022-03-30,富时中国A50指数(富时A50),13389.73,13803.33,13803.33,13389.73,13389.73,3.09,0.0
XIN9,2022-03-29,富时中国A50指数(富时A50),13420.67,13389.73,13535.63,13363.27,13420.67,-0.23,0.0
XIN9,2022-03-28,富时中国A50指数(富时A50),13529.79,13420.67,13535.29,13205.68,13529.79,-0.81,0.0
XIN9,2022-03-25,富时中国A50指数(富时A50),13788.97,13529.79,13815.15,13523.96,13788.97,-1.88,0.0
XIN9,2022-03-24,富时中国A50指数(富时A50),13843.5,13788.97,13851.77,13672.12,13843.5,-0.39,0.0
XIN9,2022-03-23,富时中国A50指数(富时A50),13746.68,13843.5,13890.87,13712.47,13746.68,0.7,0.0
XIN9,2022-03-22,富时中国A50指数(富时A50),13725.45,13746.68,13831.51,13672.74,13725.45,0.15,0.0
XIN9,2022-03-21,富时中国A50指数(富时A50),13792.44,13725.45,13873.55,13633.64,13792.44,-0.49,0.0
XIN9,2022-03-18,富时中国A50指数(富时A50),13624.35,13792.44,13854.09,13491.25,13624.35,1.23,0.0
